epoch 0, I/O 0
epoch 228, I/O 73904128
epoch 229, I/O 72785920
epoch 230, I/O 91955200
epoch 231, I/O 73199616
epoch 232, I/O 68694016
epoch 233, I/O 103129088
epoch 234, I/O 89706496
epoch 235, I/O 71749632
epoch 236, I/O 89563136
epoch 237, I/O 90013696
epoch 238, I/O 88207360
epoch 239, I/O 72491008
epoch 240, I/O 89407488
epoch 241, I/O 72474624
epoch 242, I/O 90791936
epoch 243, I/O 72916992
epoch 244, I/O 71544832
epoch 245, I/O 73990144
epoch 246, I/O 89657344
epoch 247, I/O 89489408
epoch 248, I/O 91688960
epoch 249, I/O 91222016
epoch 250, I/O 70656000
epoch 251, I/O 89419776
epoch 252, I/O 71495680
epoch 253, I/O 73334784
epoch 254, I/O 91172864
epoch 255, I/O 72163328
epoch 256, I/O 89886720
epoch 257, I/O 101924864
epoch 258, I/O 86597632
epoch 259, I/O 84336640
epoch 260, I/O 79282176
epoch 261, I/O 79187968
epoch 262, I/O 70696960
epoch 263, I/O 89686016
epoch 264, I/O 70250496
epoch 265, I/O 92758016
epoch 266, I/O 88977408
epoch 267, I/O 90214400
epoch 268, I/O 69259264
epoch 269, I/O 81993728
epoch 270, I/O 86675456
epoch 271, I/O 89223168
epoch 272, I/O 88309760
epoch 273, I/O 51625984
epoch 274, I/O 105209856
epoch 275, I/O 90062848
epoch 276, I/O 102404096
epoch 277, I/O 102871040
epoch 278, I/O 104280064
epoch 279, I/O 71053312
epoch 280, I/O 90595328
epoch 281, I/O 90173440
epoch 282, I/O 81612800
epoch 283, I/O 87052288
epoch 284, I/O 89448448
epoch 285, I/O 89145344
epoch 286, I/O 90308608
epoch 287, I/O 70402048
epoch 288, I/O 104546304
epoch 289, I/O 71049216
epoch 290, I/O 87564288
epoch 291, I/O 105439232
epoch 292, I/O 91176960
epoch 293, I/O 72212480
epoch 294, I/O 89370624
epoch 295, I/O 105046016
epoch 296, I/O 70426624
epoch 297, I/O 70352896
epoch 298, I/O 86720512
epoch 299, I/O 70373376
epoch 300, I/O 90386432
epoch 301, I/O 89395200
epoch 302, I/O 71258112
epoch 303, I/O 69804032
epoch 304, I/O 103538688
epoch 305, I/O 89309184
epoch 306, I/O 70643712
epoch 307, I/O 71680000
epoch 308, I/O 88616960
epoch 309, I/O 72060928
epoch 310, I/O 103616512
epoch 311, I/O 89853952
epoch 312, I/O 71520256
epoch 313, I/O 72744960
epoch 314, I/O 90480640
epoch 315, I/O 90050560
epoch 316, I/O 91799552
epoch 317, I/O 90038272
epoch 318, I/O 72282112
epoch 319, I/O 88068096
epoch 320, I/O 90406912
epoch 321, I/O 73125888
epoch 322, I/O 71716864
epoch 323, I/O 87355392
epoch 324, I/O 69373952
epoch 325, I/O 86044672
epoch 326, I/O 100052992
epoch 327, I/O 67461120
epoch 328, I/O 98889728
epoch 329, I/O 83283968
epoch 330, I/O 69738496
epoch 331, I/O 68648960
epoch 332, I/O 70402048
epoch 333, I/O 104992768
epoch 334, I/O 81936384
epoch 335, I/O 65273856
epoch 336, I/O 99356672
epoch 337, I/O 107282432
epoch 338, I/O 70582272
epoch 339, I/O 91914240
epoch 340, I/O 90087424
epoch 341, I/O 102584320
epoch 342, I/O 84774912
epoch 343, I/O 68694016
epoch 344, I/O 70197248
epoch 345, I/O 83881984
epoch 346, I/O 87707648
