epoch 0, I/O 0
epoch 228, I/O 37163008
epoch 229, I/O 22573056
epoch 230, I/O 37806080
epoch 231, I/O 54910976
epoch 232, I/O 43855872
epoch 233, I/O 48963584
epoch 234, I/O 36782080
epoch 235, I/O 63660032
epoch 236, I/O 74530816
epoch 237, I/O 49958912
epoch 238, I/O 60252160
epoch 239, I/O 60960768
epoch 240, I/O 33861632
epoch 241, I/O 34734080
epoch 242, I/O 49115136
epoch 243, I/O 48558080
epoch 244, I/O 93573120
epoch 245, I/O 65146880
epoch 246, I/O 35889152
epoch 247, I/O 30203904
epoch 248, I/O 42995712
epoch 249, I/O 21053440
epoch 250, I/O 31199232
epoch 251, I/O 54808576
epoch 252, I/O 56139776
epoch 253, I/O 24895488
epoch 254, I/O 65474560
epoch 255, I/O 61599744
epoch 256, I/O 30875648
epoch 257, I/O 58818560
epoch 258, I/O 83099648
epoch 259, I/O 37568512
epoch 260, I/O 55508992
epoch 261, I/O 45199360
epoch 262, I/O 48541696
epoch 263, I/O 40554496
epoch 264, I/O 49963008
epoch 265, I/O 35864576
epoch 266, I/O 28905472
epoch 267, I/O 44376064
epoch 268, I/O 47337472
epoch 269, I/O 44523520
epoch 270, I/O 38494208
epoch 271, I/O 50487296
epoch 272, I/O 24625152
epoch 273, I/O 41787392
epoch 274, I/O 65421312
epoch 275, I/O 31211520
epoch 276, I/O 19922944
epoch 277, I/O 34701312
epoch 278, I/O 59080704
epoch 279, I/O 41271296
epoch 280, I/O 39452672
epoch 281, I/O 54128640
epoch 282, I/O 75898880
epoch 283, I/O 56987648
epoch 284, I/O 55201792
epoch 285, I/O 33771520
epoch 286, I/O 60215296
epoch 287, I/O 35971072
epoch 288, I/O 51535872
epoch 289, I/O 38785024
epoch 290, I/O 35074048
epoch 291, I/O 40169472
epoch 292, I/O 28659712
epoch 293, I/O 52641792
epoch 294, I/O 28708864
epoch 295, I/O 45146112
epoch 296, I/O 47628288
epoch 297, I/O 42881024
epoch 298, I/O 70242304
epoch 299, I/O 43556864
epoch 300, I/O 40312832
epoch 301, I/O 67743744
epoch 302, I/O 43069440
epoch 303, I/O 63860736
epoch 304, I/O 31248384
epoch 305, I/O 38014976
epoch 306, I/O 30760960
epoch 307, I/O 36896768
epoch 308, I/O 36810752
epoch 309, I/O 22523904
epoch 310, I/O 44888064
epoch 311, I/O 55283712
epoch 312, I/O 55222272
epoch 313, I/O 41439232
epoch 314, I/O 41992192
epoch 315, I/O 34443264
epoch 316, I/O 31203328
epoch 317, I/O 36372480
epoch 318, I/O 52617216
epoch 319, I/O 63000576
epoch 320, I/O 49393664
epoch 321, I/O 40071168
epoch 322, I/O 34725888
epoch 323, I/O 35033088
epoch 324, I/O 40886272
epoch 325, I/O 32763904
epoch 326, I/O 72380416
epoch 327, I/O 34672640
epoch 328, I/O 64126976
epoch 329, I/O 31313920
epoch 330, I/O 48656384
epoch 331, I/O 31399936
epoch 332, I/O 43556864
epoch 333, I/O 53235712
epoch 334, I/O 38187008
epoch 335, I/O 66428928
epoch 336, I/O 46415872
epoch 337, I/O 45522944
epoch 338, I/O 51490816
epoch 339, I/O 58036224
epoch 340, I/O 63422464
epoch 341, I/O 50139136
epoch 342, I/O 46792704
epoch 343, I/O 60260352
epoch 344, I/O 43360256
epoch 345, I/O 63868928
epoch 346, I/O 36483072
epoch 347, I/O 34529280
epoch 348, I/O 24858624
epoch 349, I/O 28246016
epoch 350, I/O 65789952
epoch 351, I/O 46432256
epoch 352, I/O 28463104
epoch 353, I/O 63721472
epoch 354, I/O 33476608
epoch 355, I/O 56680448
epoch 356, I/O 32632832
epoch 357, I/O 33595392
epoch 358, I/O 72728576
epoch 359, I/O 21827584
epoch 360, I/O 42868736
epoch 361, I/O 51105792
epoch 362, I/O 61685760
epoch 363, I/O 82038784
epoch 364, I/O 54505472
epoch 365, I/O 42668032
epoch 366, I/O 53800960
epoch 367, I/O 41484288
epoch 368, I/O 63750144
epoch 369, I/O 56442880
epoch 370, I/O 27660288
epoch 371, I/O 27975680
epoch 372, I/O 68001792
epoch 373, I/O 41414656
epoch 374, I/O 65126400
epoch 375, I/O 42606592
epoch 376, I/O 35430400
epoch 377, I/O 65167360
epoch 378, I/O 29540352
epoch 379, I/O 41529344
epoch 380, I/O 64565248
epoch 381, I/O 58433536
epoch 382, I/O 39788544
epoch 383, I/O 62160896
epoch 384, I/O 55611392
epoch 385, I/O 52822016
epoch 386, I/O 21381120
epoch 387, I/O 33660928
epoch 388, I/O 45715456
epoch 389, I/O 64696320
epoch 390, I/O 82767872
epoch 391, I/O 47927296
epoch 392, I/O 35307520
epoch 393, I/O 46735360
epoch 394, I/O 61739008
epoch 395, I/O 57434112
epoch 396, I/O 43032576
epoch 397, I/O 40194048
epoch 398, I/O 39481344
epoch 399, I/O 37679104
epoch 400, I/O 44023808
epoch 401, I/O 43016192
epoch 402, I/O 78217216
epoch 403, I/O 47398912
epoch 404, I/O 46559232
epoch 405, I/O 77688832
epoch 406, I/O 15642624
epoch 407, I/O 59695104
epoch 408, I/O 13582336
epoch 409, I/O 47927296
epoch 410, I/O 55996416
epoch 411, I/O 65642496
epoch 412, I/O 73084928
epoch 413, I/O 101785600
epoch 414, I/O 38170624
epoch 415, I/O 56332288
epoch 416, I/O 66433024
epoch 417, I/O 22458368
epoch 418, I/O 52756480
epoch 419, I/O 31277056
epoch 420, I/O 45133824
epoch 421, I/O 72368128
epoch 422, I/O 45305856
epoch 423, I/O 45957120
epoch 424, I/O 40869888
epoch 425, I/O 51494912
epoch 426, I/O 39985152
epoch 427, I/O 41558016
epoch 428, I/O 27500544
epoch 429, I/O 60198912
epoch 430, I/O 52531200
epoch 431, I/O 60346368
epoch 432, I/O 62582784
epoch 433, I/O 56066048
epoch 434, I/O 42672128
epoch 435, I/O 45191168
epoch 436, I/O 71258112
epoch 437, I/O 54063104
epoch 438, I/O 46710784
epoch 439, I/O 54648832
epoch 440, I/O 77885440
epoch 441, I/O 28508160
